timestamp,production_load_t,equipment_utilization_pct,ambient_temp_c,equipment_run_frac,furnace_kwh,compressor_kwh,ventilation_kwh,auxiliary_kwh,energy_kwh,hour,minute,dayofweek,day,month,year,is_weekend,is_weekday,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,energy_lag_15min,energy_lag_1h,energy_lag_24h,energy_roll_mean_24h,energy_roll_std_24h,expected_kwh_per_load
2024-01-05 06:00:00,83.63,79.69,17.36,0.747,555.04,223.54,44.84,57.72,1120.6933,6,0,4,5,1,2024,0,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,885.73,1001.02,923.97,965.1088885416666,68.50912676964998,13.400613416238192
2024-01-06 03:00:00,69.39,72.76,17.19,0.752,470.13,218.86,42.54,61.59,793.12,3,0,5,6,1,2024,1,0,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,880.13,1060.17,972.89,958.175034375,74.13771623488255,11.429889033001874
2024-01-06 06:00:00,59.79,71.59,15.34,0.757,424.09,209.92,42.39,68.26,744.65,6,0,5,6,1,2024,1,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,821.87,880.13,839.58,955.5720135416668,78.26176882836168,12.454423816691754
2024-01-06 07:00:00,62.99,70.85,15.15,0.729,419.56,201.53,41.65,62.44,725.18,7,0,5,6,1,2024,1,0,0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,744.65,793.12,949.09,953.2396177083334,81.71723649698265,11.512621050960469
2024-01-06 08:00:00,69.77,74.55,16.92,0.708,465.17,211.95,42.33,55.1,774.56,8,0,5,6,1,2024,1,0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,725.18,827.23,897.81,951.9557635416668,83.54500007754554,11.101619607281066
2024-01-06 16:00:00,66.24,75.77,15.48,0.764,458.96,223.55,35.3,71.13,788.94,16,0,5,6,1,2024,1,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,865.92,840.03,948.88,939.1524302083334,88.97073784517573,11.910326086956523
2024-01-06 17:00:00,63.97,73.51,16.56,0.675,427.29,221.19,35.3,67.38,751.16,17,0,5,6,1,2024,1,0,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,788.94,876.27,875.66,937.8555552083332,90.79465915734184,11.742379240268876
2024-01-06 18:00:00,67.0,68.21,14.2,0.715,458.59,205.74,41.49,57.78,763.6,18,0,5,6,1,2024,1,0,-1.0,-1.8369701987210294e-16,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,751.16,817.54,870.04,936.7468052083332,92.26943932310694,11.397014925373135
2024-01-06 19:00:00,60.33,73.28,16.48,0.708,412.93,210.63,40.49,61.52,725.57,19,0,5,6,1,2024,1,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,763.6,865.92,892.61,935.0068052083334,94.6546983302466,12.02668655726836
2024-01-06 20:00:00,70.28,74.56,14.49,0.723,483.48,222.26,38.17,64.61,808.52,20,0,5,6,1,2024,1,0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,725.57,788.94,873.49,934.330034375,95.32902892430144,11.504268639726806
