timestamp,production_load_t,equipment_utilization_pct,ambient_temp_c,equipment_run_frac,furnace_kwh,compressor_kwh,ventilation_kwh,auxiliary_kwh,energy_kwh,hour,minute,dayofweek,day,month,year,is_weekend,is_weekday,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,energy_lag_15min,energy_lag_1h,energy_lag_24h,energy_roll_mean_24h,energy_roll_std_24h,expected_kwh_per_load,dominant_equipment
2024-01-05 06:00:00,83.63,79.69,17.36,0.747,555.04,223.54,44.84,57.72,1120.6933,6,0,4,5,1,2024,0,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,885.73,1001.02,923.97,965.1088885416666,68.50912676964998,13.400613416238192,Furnace
2024-01-08 11:00:00,123.87,100.0,12.78,1.0,729.9,257.3,48.95,64.06,1100.21,11,0,0,8,1,2024,0,1,0.258819045102521,-0.9659258262890682,0.0,1.0,0.4999999999999999,0.8660254037844387,1003.92,911.46,1027.22,893.6069093749999,99.56424684974476,8.881973036247679,Furnace
2024-01-08 12:00:00,117.5,100.0,14.82,0.931,724.06,274.0,45.79,59.25,1103.1,12,0,0,8,1,2024,0,1,1.2246467991473532e-16,-1.0,0.0,1.0,0.4999999999999999,0.8660254037844387,1100.21,907.61,1044.74,894.2148260416666,100.66878441299151,9.388085106382977,Furnace
2024-01-11 12:00:00,123.49,89.14,12.79,0.895,730.02,249.81,38.42,61.99,1080.24,12,0,3,11,1,2024,0,1,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,1037.31,973.69,922.85,955.2138541666668,84.08998899512055,8.747590898048426,Furnace
2024-01-11 13:00:00,117.12,99.3,15.22,0.97,699.51,268.48,54.98,57.88,1080.86,13,0,3,11,1,2024,0,1,-0.2588190451025208,-0.9659258262890684,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,1080.24,973.93,888.24,957.2203125,84.77039990410123,9.228654371584698,Furnace
2024-01-16 12:00:00,120.8,100.0,15.04,0.972,718.79,275.06,37.25,60.87,1091.96,12,0,1,16,1,2024,0,1,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,1052.36,927.62,1072.22,896.3128125,96.37203314243553,9.039403973509934,Furnace
2024-01-18 12:00:00,123.24,100.0,16.71,1.0,736.98,270.17,35.45,57.78,1100.38,12,0,3,18,1,2024,0,1,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,1058.03,983.48,872.89,953.6272916666668,81.44485185473837,8.92875689711133,Furnace
2024-01-18 13:00:00,120.01,98.06,14.17,0.986,734.17,263.19,33.96,62.08,1093.41,13,0,3,18,1,2024,0,1,-0.2588190451025208,-0.9659258262890684,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,1100.38,969.67,844.31,956.2220833333334,81.89226829280206,9.11099075077077,Furnace
2024-01-23 12:00:00,118.34,100.0,15.98,0.982,726.55,266.84,43.38,66.27,1103.03,12,0,1,23,1,2024,0,1,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,1020.15,898.07,1001.38,887.8146874999999,96.48754537520938,9.320855163089403,Furnace
2024-01-25 12:00:00,118.32,100.0,15.5,1.0,721.12,266.6,45.02,56.22,1088.95,12,0,3,25,1,2024,0,1,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,1023.22,938.38,896.89,947.6513541666668,84.33829700887605,9.203431372549021,Furnace
