timestamp,production_load_t,equipment_utilization_pct,ambient_temp_c,equipment_run_frac,furnace_kwh,compressor_kwh,ventilation_kwh,auxiliary_kwh,energy_kwh,hour,minute,dayofweek,day,month,year,is_weekend,is_weekday,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,energy_lag_15min,energy_lag_1h,energy_lag_24h,energy_roll_mean_24h,energy_roll_std_24h
2024-01-05 00:00:00,116.18,99.13,15.32,1.0,696.51,270.07,46.41,55.95,1068.93,0,0,4,5,1,2024,0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1009.87,892.98,1076.52,963.9288541666666,66.55718568300244
2024-01-05 01:00:00,114.03,97.68,16.45,0.953,699.39,252.25,43.14,61.76,1056.55,1,0,4,5,1,2024,0,1,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1068.93,931.26,1042.33,964.0769791666667,66.74905340735933
2024-01-05 02:00:00,107.52,85.74,15.97,0.843,652.96,247.3,38.79,61.97,1001.02,2,0,4,5,1,2024,0,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1056.55,1000.67,1002.78,964.0586458333332,66.73855219191711
2024-01-05 03:00:00,99.06,80.46,19.15,0.831,609.29,230.06,38.99,57.63,935.97,3,0,4,5,1,2024,0,1,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1001.02,1009.87,1010.88,963.2783333333333,66.62317778555459
2024-01-05 04:00:00,86.84,84.9,13.96,0.773,562.41,237.32,36.8,60.11,896.63,4,0,4,5,1,2024,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,935.97,1068.93,929.67,962.9341666666668,66.883453365052
2024-01-05 05:00:00,85.33,83.34,15.42,0.779,548.71,230.1,44.36,62.56,885.73,5,0,4,5,1,2024,0,1,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,896.63,1056.55,873.68,963.0596875,66.72530619839624
2024-01-05 06:00:00,83.63,79.69,17.36,0.747,555.04,223.54,44.84,57.72,1120.6933000000001,6,0,4,5,1,2024,0,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,885.73,1001.02,923.97,965.1088885416666,68.50912676964998
2024-01-05 07:00:00,83.8,73.61,17.27,0.646,532.1,209.25,34.65,55.57,831.57,7,0,4,5,1,2024,0,1,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1120.6933000000001,935.97,918.68,964.2014927083334,69.69712616826915
2024-01-05 08:00:00,91.85,88.28,12.11,0.937,575.12,233.41,33.12,61.14,902.79,8,0,4,5,1,2024,0,1,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,831.57,896.63,912.05,964.105034375,69.77642436056047
2024-01-05 09:00:00,101.62,97.17,15.03,0.872,637.06,259.15,38.73,67.42,1002.35,9,0,4,5,1,2024,0,1,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,902.79,885.73,998.72,964.142846875,69.79636070763205
